DateTime,EventHeader,EventDescription,Tags
2024-01-08 09:14:00,PHISHING EMAIL RECEIVED,"Description: Sarah Mitchell receives a spear-phishing email appearing to come from DocuSign. Email originates from spoofed domain docu-sign-secure.net.

From: docusign-noreply@docu-sign-secure.net
To: smitchell@pinnaclerealty.com
Subject: Action Required: Review and Sign - Purchase Agreement 4400 Commerce Blvd
Message: Please review and sign the attached purchase agreement at your earliest convenience. This document requires your signature before the January 12 deadline. Click here to review: http://docu-sign-secure.net/review?id=48821
Attachments:
1. PurchaseAgreement_4400CommerceBvld_FINAL.pdf",Phishing;Initial Access;Spoofed Email
2024-01-08 09:31:00,CREDENTIAL HARVESTING,"Description: Sarah Mitchell clicks the phishing link and enters her Microsoft 365 credentials into a convincing fake OWA login portal. Credentials captured by threat actor in real time.

From: smitchell@pinnaclerealty.com (browser session)
To: http://login-microsoftonline-secure.com/harvest
Subject: N/A - Credential capture via fake OWA portal
Message: Victim entered username smitchell@pinnaclerealty.com and password. Portal displayed a fake loading spinner then redirected to the legitimate DocuSign website to avoid suspicion.
Attachments: None",Phishing;Credential Theft;Initial Access
2024-01-08 09:34:00,INITIAL ACCOUNT ACCESS,"Description: THREAT_ACTOR authenticates to smitchell@pinnaclerealty.com via OWA using harvested credentials. First confirmed threat actor session in victim mailbox.

Source IP: 185.220.101.47 (Tor exit node - Netherlands)
User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
Auth Method: Username and password - no MFA enrolled
Session Duration: 31 minutes",Initial Access;Tor;Suspicious Login
2024-01-08 09:41:00,INBOX RECONNAISSANCE,"Description: THREAT_ACTOR reads emails in victim mailbox for 7 minutes. Identifies active $2.3M commercial property closing scheduled for March 14 2024 and maps all transaction participants.

Key findings noted by threat actor:
- Closing scheduled March 14 2024 for 4400 Commerce Boulevard
- Title company: Harborview Title - robert.chen@harborviewtitle.com
- Buyer: Marcus Webb - mwebb@webbcommercial.com
- Attorney: David Park - davidpark@dparklegallaw.com
- CPA: Carol Nguyen - c.nguyen@nguyencpagroup.com
- Estimated transaction value: $2.3M",Reconnaissance;Mailbox Access
2024-01-08 09:48:00,MALICIOUS INBOX RULE CREATED,"Description: THREAT_ACTOR creates first malicious inbox rule to intercept and hide financial and closing-related emails from Sarah Mitchell.

Rule Name: --- (three dashes)
Condition: Subject or body contains any of: wire; transfer; closing; ACH; payment; title; escrow; instructions; routing; account number
Action: Move to Deleted Items
Created From IP: 185.220.101.47
Visible to User: No - rule hidden in OWA advanced settings",Persistence;Inbox Rule;Defense Evasion
2024-01-08 10:02:00,SECOND INBOX RULE CREATED,"Description: THREAT_ACTOR creates second malicious inbox rule to suppress all security alerts and fraud notifications before Sarah Mitchell can see them.

Rule Name: (blank)
Condition: Subject or body contains any of: fraud; security alert; unusual sign-in; suspicious activity; verify your identity; account compromised; unauthorized access
Action: Delete immediately - bypass Deleted Items
Created From IP: 185.220.101.47
Visible to User: No",Persistence;Inbox Rule;Defense Evasion
2024-01-09 14:22:00,LEGITIMATE EMAIL - CLOSING UPDATE,"Description: Sarah Mitchell sends routine closing coordination email to title company and attorney confirming the March 14 closing date. This is a legitimate email authored by Sarah from her office workstation.

From: smitchell@pinnaclerealty.com
To: robert.chen@harborviewtitle.com; davidpark@dparklegallaw.com
Subject: 4400 Commerce Blvd - Closing Confirmation March 14
Message: Hi Robert and David - just confirming we are still on track for March 14 closing. Please let me know if you need anything from our side before then. Looking forward to getting this one across the finish line.
Attachments: None",Legitimate Activity;Closing Coordination
2024-01-11 08:55:00,THREAT ACTOR PASSIVE MONITORING,"Description: THREAT_ACTOR logs into victim mailbox and silently reads new emails without taking any action. Continues building understanding of transaction relationships and communication patterns.

Source IP: 195.206.105.217 (Commercial VPN - Germany)
Session Duration: 14 minutes
Emails Read: 6 new emails in closing thread
Action Taken: Read only - no replies sent - no rules modified",Reconnaissance;Mailbox Access
2024-01-15 11:30:00,LEGITIMATE EMAIL - INSPECTION RESULTS,"Description: Sarah Mitchell forwards inspection report to buyer and CPA. Legitimate email authored by Sarah from her office.

From: smitchell@pinnaclerealty.com
To: mwebb@webbcommercial.com; c.nguyen@nguyencpagroup.com
Subject: 4400 Commerce Blvd - Inspection Report Summary
Message: Marcus and Carol - please find attached the inspection report from January 13. Overall the property is in good condition with only minor items noted. Let me know if you have any questions before we proceed.
Attachments:
1. InspectionReport_4400CommerceBvld_Jan13.pdf
2. InspectionPhoto_Summary_Jan13.pdf",Legitimate Activity;Transaction Update
2024-01-19 09:15:00,THREAT ACTOR READS ATTORNEY THREAD,"Description: THREAT_ACTOR logs in and reads confidential email thread between Sarah Mitchell and attorney David Park regarding wire instruction protocols and title contingencies. Intelligence gathered to craft convincing future spoofed emails.

Source IP: 103.75.190.88 (Commercial VPN - Hong Kong)
Session Duration: 22 minutes
Key Intelligence Gathered:
- Attorney David Park requires encrypted email for wire instructions
- Firm policy requires verbal confirmation before any wire change
- Attorney uses personal cell 555-0142 for urgent closing matters",Reconnaissance;Mailbox Access
